H,20080219,1130,PT,ASM
O,52014070,,,
I,42600AD08400,42600AD08400,548,EA
O,52014070,,,
I,42600AD09300,42600AD09300,810,EA
O,52014070,,,
I,42600AD11400,42600AD11400,289,EA
O,52014070,,,
I,42600AD12300,42600AD12300,182,EA
O,52014070,,,
I,42600AD13300,42600AD13300,364,EA
O,52014070,,,
I,42600AD14300,42600AD14300,260,EA
O,52014070,,,
I,42600AD15300,42600AD15300,518,EA
O,52014070,,,
I,42600AD16300,42600AD16300,26,EA
O,52014070,,,
I,42600AD17300,42600AD17300,52,EA
O,52014070,,,
I,426700406000,426700406000,810,EA
O,52014070,,,
I,426700407000,426700407000,288,EA
O,52014070,,,
I,426700408000,426700408000,364,EA
O,52014071,,,
I,426700409000,426700409000,518,EA
O,52014071,,,
I,426700410000,426700410000,52,EA
