H,20090121,11:3,PT,ASM
O,52016986,,,
I,4260004B9000,4260004B9000,362,EA
O,52016986,,,
I,4260004C0000,4260004C0000,194,EA
O,52016986,,,
I,4260004C1000,4260004C1000,219,EA
O,52016986,,,
I,4260004C2000,4260004C2000,221,EA
O,52016986,,,
I,42600AD09300,42600AD09300,368,EA
O,52016986,,,
I,42600AD11400,42600AD11400,358,EA
O,52016986,,,
I,42600AD13300,42600AD13300,388,EA
O,52016986,,,
I,42600AD15300,42600AD15300,437,EA
O,52016986,,,
I,42600AD17300,42600AD17300,444,EA
O,52016986,,,
I,426700406000,426700406000,366,EA
O,52016986,,,
I,426700407000,426700407000,358,EA
O,52016986,,,
I,426700408000,426700408000,388,EA
O,52016987,,,
I,426700409000,426700409000,436,EA
O,52016987,,,
I,426700410000,426700410000,444,EA
