H,20140106,1130,PT,ASM
O,52035489,,,
I,4260004B9000,4260004B9000,127,EA
O,52035489,,,
I,4260004C0000,4260004C0000,90,EA
O,52035489,,,
I,4260004C1000,4260004C1000,72,EA
O,52035489,,,
I,4260004C2000,4260004C2000,103,EA
O,52035489,,,
I,4260004C4000,4260004C4000,74,EA
O,52035489,,,
I,4260004C5000,4260004C5000,24,EA
O,52035489,,,
I,4260004C6000,4260004C6000,12,EA
O,52035489,,,
I,42600AD09300,42600AD09300,164,EA
O,52035489,,,
I,42600AD11400,42600AD11400,90,EA
O,52035489,,,
I,426700406000,426700406000,164,EA
O,52035489,,,
I,426700414000,426700414000,74,EA
O,52035489,,,
I,426700415000,426700415000,24,EA
O,52035490,,,
I,42600AD13300,42600AD13300,182,EA
O,52035490,,,
I,42600AD15300,42600AD15300,142,EA
O,52035490,,,
I,42600AD17300,42600AD17300,132,EA
O,52035490,,,
I,426700407000,426700407000,90,EA
O,52035490,,,
I,426700408000,426700408000,183,EA
O,52035490,,,
I,426700409000,426700409000,142,EA
O,52035490,,,
I,426700410000,426700410000,132,EA
