265B8001TGHU 75679320030404TERMINATED   
265B8101TRIU 46084820030218ARRIVEDNUMMI 
265B8101TRIU 46084820030218TERMINATED   
265B8701TRLU 52051920030404TERMINATED   
265B9901GATU 81953420030404TERMINATED   
265B9801APMU 80515420030404TERMINATED   
265B9701SEAU 84270820030403TERMINATED   
265B9301MAEU 73633420030403TERMINATED   
265B9101TTNU 43211320030404TERMINATED   
205F4401GLDU 04291620030404TERMINATED   
265B9201MAEU 71140920030402TERMINATED   
265M3801HJCU 41259420030402TERMINATED   
205F3801NYKU 60097920030409TERMINATED   
265G9601GESU 40797620030402TERMINATED   
225D8601TCKU 96220720030328TERMINATED   
88WH4201CAXU 70796720030401TERMINATED   
205F3901NYKU 60671520030411ARRIVEDNUMMI 
225D1501NYKU 61313120030402INTRANSIT    
265G9501SENU 42666020030401TERMINATED   
78WH3301SEAU 87000820030331TERMINATED   
205G0001TRLU 61561120030410ARRIVEDNUMMI 
205F4101TRLU 63181920030331TERMINATED   
19WH3801MAEU 45118720030401TERMINATED   
205F4301NYKU 60925020030402TERMINATED   
265M1601HJCU 11678420030328TERMINATED   
92WH4201BENU 48044820030328TERMINATED   
21WH3801MSKU 80861120030402TERMINATED   
54WH3501TTNU 49035420030331TERMINATED   
22WH3801SCZU 39477920030403TERMINATED   
36WH3701TRLU 44905020030402TERMINATED   
95WH4001SEAU 48509620030408TERMINATED   
265L2301HJCU 72574620030403TERMINATED   
23WH3801HJCU 76458920030328TERMINATED   
265M3101HJCU 74275720030331TERMINATED   
265G8801TOLU 22689920030331TERMINATED   
95WH4201MAEU 63026420030403TERMINATED   
79WH3301MSKU 61875820030408ARRIVEDNUMMI 
79WH3301MSKU 61875820030409TERMINATED   
23WH4101INKU 22457320030408TERMINATED   
265M3401HJCU 72561020030401TERMINATED   
39WH3701MSKU 61908620030404TERMINATED   
53WH3501SCMU 40095520030328TERMINATED   
15WH4101TEXU 72563720030402TERMINATED   
98WH4201MAEU 71538220030408TERMINATED   
80WH3301MSKU 61368920030403TERMINATED   
265G9301HJCU 75667820030401TERMINATED   
265S4401SEAU 82433320030328TERMINATED   
265L2501TTNU 51147720030402TERMINATED   
97WH4201TTNU 50013920030408TERMINATED   
40WH3701NYKU 61324720030402TERMINATED   
265M4101MAEU 82294320030331TERMINATED   
99WH4201TRLU 43096320030403TERMINATED   
265L2701HJCU 78760720030409TERMINATED   
20WH4101HJCU 76355120030409ARRIVEDNUMMI 
20WH4101HJCU 76355120030409TERMINATED   
265G1001TEXU 54570320030410ARRIVEDNUMMI 
265G1001TEXU 54570320030410TERMINATED   
265M4801INBU 49264520030410ARRIVEDNUMMI 
265G0501TGHU 70517020030403TERMINATED   
265G0601INKU 28082420030331TERMINATED   
265M5301TEXU 51402820030410ARRIVEDNUMMI 
265M5301TEXU 51402820030410TERMINATED   
205G0501HJCU 77305620030407TERMINATED   
265S4801TOLU 17131920030408TERMINATED   
265M5401APMU 45446620030410ARRIVEDNUMMI 
265M5401APMU 45446620030410TERMINATED   
45WH3701FSCU 41845720030410ARRIVEDNUMMI 
45WH3701FSCU 41845720030410TERMINATED   
265G0701MSKU 81670720030402TERMINATED   
265M4901NYKU 62000120030404TERMINATED   
265G0801NYKU 54471420030408ARRIVEDNUMMI 
265G0801NYKU 54471420030409TERMINATED   
265M5001SEAU 85618320030408TERMINATED   
60WH3501HJCU 76486220030408TERMINATED   
22WH4101TEXU 71366420030408ARRIVEDNUMMI 
22WH4101TEXU 71366420030409TERMINATED   
205G0601HJCU 78985420030403TERMINATED   
21WH4101TTNU 95764720030404TERMINATED   
30WH3801MSKU 82337120030409ARRIVEDNUMMI 
30WH3801MSKU 82337120030409TERMINATED   
61WH3501NYKU 54021420030409ARRIVEDNUMMI 
61WH3501NYKU 54021420030409TERMINATED   
265G1101CRXU 95135920030407TERMINATED   
265M5101TTNU 96646020030408TERMINATED   
265M5201HJCU 11168020030409ARRIVEDNUMMI 
265M5201HJCU 11168020030409TERMINATED   
47WH3701TTNU 43354720030409TERMINATED   
265G1201HJCU 12642320030402TERMINATED   
265S4901SEAU 84609620030410ARRIVEDNUMMI 
265S4901SEAU 84609620030410TERMINATED   
265M5601SENU 50661320030407TERMINATED   
265L3201HDMU 45485720030402INTRANSIT    
265G1401TCKU 91223120030407TERMINATED   
48WH3701TTNU 55227120030410ARRIVEDNUMMI 
48WH3701TTNU 55227120030410TERMINATED   
05WH4201ICSU 18474020030331INTRANSIT    
265M5901MAEU 83714420030409TERMINATED   
265G1701SEAU 85609320030408TERMINATED   
265G1601MAEU 82166620030410ARRIVEDNUMMI 
265G1601MAEU 82166620030410TERMINATED   
265M5701TGHU 74166720030408TERMINATED   
04WH4201TTNU 55455520030328INTRANSIT    
04WH4201TTNU 55455520030410ARRIVEDNUMMI 
04WH4201TTNU 55455520030410TERMINATED   
265M6001CLHU 80112020030331INTRANSIT    
205G1001TRLU 57488420030331INTRANSIT    
265M6101GATU 81123720030331INTRANSIT    
265M6101GATU 81123720030409ARRIVEDNUMMI 
265M6101GATU 81123720030409TERMINATED   
265L3101APMU 45287720030331INTRANSIT    
265S5001MSKU 45486220030331INTRANSIT    
265G1801MSKU 45500920030331INTRANSIT    
265G1801MSKU 45500920030410ARRIVEDNUMMI 
265G1801MSKU 45500920030410TERMINATED   
265G1901SEAU 48618320030331INTRANSIT    
25WH4101TTNU 94751120030331INTRANSIT    
32WH3801HJCU 10555820030331INTRANSIT    
65WH3501NYKU 62077520030331INTRANSIT    
64WH3501MSKU 45406920030331INTRANSIT    
