08WH3101TEXU 47392220030103TERMINATED   
205F2101TGHU 43429420030117TERMINATED   
61WH4201INBU 50850520030123TERMINATED   
205F2301NYKU 61044320030205TERMINATED   
82WH4101MAEU 82338320030130TERMINATED   
16WH3501MSKU 80507120030131TERMINATED   
70WH4201TEXU 54536620030312TERMINATED   
92WH4101TGHU 70690920030414TERMINATED   
74WH3301NYKU 54322420030305TERMINATED   
225D8701NYKU 54398620030417TERMINATED   
46WH3501SEAU 48534720030326TERMINATED   
28WH4101SCZU 39236920030416TERMINATED   
35WH3701TTNU 48004420030325TERMINATED   
25WH3801SEAU 78076620030416TERMINATED   
265M2201HJCU 10550320030319TERMINATED   
26WH3801TTNU 47926220030421TERMINATED   
205F4601TTNU 52062120030416TERMINATED   
205G0201MAEU 71466620030416TERMINATED   
01WH4201TRIU 55702320030415TERMINATED   
82WH3301TTNU 90571520030421TERMINATED   
265M5501MSKU 81674620030416TERMINATED   
265L3001CAXU 99108820030417TERMINATED   
265S5001MSKU 45486220030417TERMINATED   
25WH4101TTNU 94751120030414TERMINATED   
65WH3501NYKU 62077520030416TERMINATED   
265M6601SEAU 87243020030416TERMINATED   
66WH3501MAEU 81666020030417TERMINATED   
26WH4101MAEU 45738920030416TERMINATED   
50WH3701TTNU 46890720030416TERMINATED   
51WH3701TTNU 52098720030421TERMINATED   
265G2301HJCU 78608720030416TERMINATED   
265M6801UESU 41593320030417TERMINATED   
265G2401MAEU 45760820030416TERMINATED   
265G2501MAEU 45719820030417TERMINATED   
265M6901SEAU 87023220030417TERMINATED   
265G2601MSKU 45137020030417TERMINATED   
265M7301TGHU 80721920030417TERMINATED   
87WH3301TTNU 52123320030421INTRANSIT    
